municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-06 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 22:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-07 23:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 03:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 09:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 13:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 14:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 15:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 16:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 17:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 18:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 19:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 20:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 21:10:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 21:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-08 22:30:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 00:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 01:20:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 01:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 02:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 03:30:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 04:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 05:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 06:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 07:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 08:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 09:20:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 09:30:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 09:40:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 09:50:00.0;0,20
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 10:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 11:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 12:30:00.0;0,00
ÁGUAS DE LINDÓIA;350050101A;SP;Jardim São Francisco;-22,475;-46,628;2025-10-09 13:30:00.0;0,00
