municipio;codEstacao;uf;nomeEstacao;latitude;longitude;offset;datahora;sensor;valorMedida
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 09:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 09:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 10:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 10:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 11:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 11:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 12:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 12:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 13:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 13:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 14:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 14:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 15:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 15:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 16:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 16:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 17:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 17:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 18:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 18:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 19:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 19:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 20:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 20:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 21:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 21:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 22:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 22:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 23:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-03 23:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 00:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 00:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 01:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 01:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 02:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 02:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 03:00:00.0;nível;8,20
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 03:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 04:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 04:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 05:00:00.0;nível;8,18
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 05:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 06:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 06:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 07:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 07:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 08:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 08:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 09:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 09:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 10:00:00.0;nível;8,19
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 10:10:00.0;chuva;0,00
ALUMÍNIO;350115201H;SP;Rio Pirajibu;-23,5176;-47,2558;8,92;2025-09-04 11:00:00.0;nível;8,19
